,ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA_x,Tiempo_Supervivencia,ID,HORA,HH,DIA_SEMANA_y,TIPO_DE_CALLE,pos x,pos y,coordenada_x,coordenada_y,ACUSADO
0,2016-0001,2016-01-01,2016,1,1.0,CONDUCTOR,MOTO,MASCULINO,19.0,2016-01-01,Viernes,0 days,2016-0001,4:00:00,4.0,4.0,AVENIDA,-58.47533969,-34.68757022,98896.78238426,93532.43437792,AUTO
1,2016-0002,2016-01-02,2016,1,2.0,CONDUCTOR,AUTO,MASCULINO,70.0,2016-01-02,Sábado,0 days,2016-0002,1:15:00,1.0,5.0,GRAL PAZ,-58.50877521,-34.66977709,95832.05571093,95505.41641999,PASAJEROS
2,2016-0003,2016-01-03,2016,1,3.0,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-03,Domingo,0 days,2016-0003,7:00:00,7.0,6.0,AVENIDA,-58.39040293,-34.63189362,106684.2909004,99706.57687843,AUTO
3,2016-0004,2016-01-10,2016,1,10.0,CONDUCTOR,MOTO,MASCULINO,18.0,,Domingo,,2016-0004,0:00:00,0.0,6.0,AVENIDA,-58.46503904,-34.68092974,99840.6522478,94269.16534422,
4,2016-0005,2016-01-21,2016,1,21.0,CONDUCTOR,MOTO,MASCULINO,29.0,2016-02-01,Jueves,11 days,2016-0005,5:20:00,5.0,3.0,AVENIDA,-58.38718297,-34.6224663,106980.32827929,100752.16915795,PASAJEROS
5,2016-0008,2016-01-24,2016,1,24.0,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-24,Domingo,0 days,2016-0008,18:30:00,18.0,6.0,AVENIDA,-58.44451316,-34.68475866,101721.59002217,93844.25656649,OBJETO FIJO
6,2016-0009,2016-01-24,2016,1,24.0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,2016-01-26,Domingo,2 days,2016-0009,19:10:00,19.0,6.0,CALLE,-58.50095869,-34.6082544,96545.87592078,102330.67262199,AUTO
7,2016-0010,2016-01-29,2016,1,29.0,CONDUCTOR,MOTO,MASCULINO,18.0,2016-01-29,Viernes,0 days,2016-0010,15:20:00,15.0,4.0,GRAL PAZ,-58.50877521,-34.66977709,95832.05571093,95505.41641999,AUTO
8,2016-0012,2016-02-08,2016,2,8.0,CONDUCTOR,MOTO,MASCULINO,22.0,2016-02-08,Lunes,0 days,2016-0012,1:20:00,1.0,0.0,AVENIDA,-58.38048577,-34.61303893,107595.35084333,101797.50052813,CARGAS
9,2016-0013,2016-02-10,2016,2,10.0,PEATON,PEATON,MASCULINO,16.0,2016-02-10,Miércoles,0 days,2016-0013,11:30:00,11.0,2.0,AVENIDA,-58.39114932,-34.62477387,106616.41069662,100496.44662323,AUTO
10,2016-0015,2016-02-14,2016,2,14.0,PEATON,PEATON,FEMENINO,16.0,2016-02-14,Domingo,0 days,2016-0015,5:14:00,5.0,6.0,AVENIDA,-58.4376002,-34.59912758,102357.43746828,103343.52002839,AUTO
11,2016-0016,2016-02-14,2016,2,14.0,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,2016-02-14,Domingo,0 days,2016-0016,22:00:00,22.0,6.0,AVENIDA,-58.36882665,-34.64291993,108661.59115206,98481.75445555,AUTO
12,2016-0017,2016-02-15,2016,2,15.0,PEATON,PEATON,MASCULINO,59.0,2016-02-16,Lunes,1 days,2016-0017,16:54:00,16.0,0.0,AVENIDA,-58.44989671,-34.65970435,101228.61094416,96623.72136186,MOTO
13,2016-0019,2016-02-17,2016,2,17.0,PEATON,PEATON,FEMENINO,65.0,2016-02-17,Miércoles,0 days,2016-0019,9:30:00,9.0,2.0,CALLE,-58.50990884,-34.65468721,95727.37083199,97179.35560349,PASAJEROS
14,2016-0020,2016-02-17,2016,2,17.0,PEATON,PEATON,MASCULINO,59.0,2016-03-02,Miércoles,14 days,2016-0020,16:00:00,16.0,2.0,CALLE,-58.37952223,-34.60653282,107684.31807562,102519.17333314,AUTO
15,2016-0021,2016-02-17,2016,2,17.0,CONDUCTOR,AUTO,MASCULINO,34.0,2016-02-17,Miércoles,0 days,2016-0021,23:35:00,23.0,2.0,AVENIDA,-58.45157703,-34.63063795,101074.94198885,99848.19369046,AUTO
16,2016-0022,2016-02-21,2016,2,21.0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,,Domingo,,2016-0022,6:00:00,6.0,6.0,AVENIDA,-58.38144696,-34.61079875,107507.39502374,102046.08333077,AUTO
17,2016-0025,2016-02-28,2016,2,28.0,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2016-02-28,Domingo,0 days,2016-0025,4:50:00,4.0,6.0,GRAL PAZ,-58.46244952,-34.70524971,100077.95205948,91571.23307293,AUTO
18,2016-0026,2016-02-28,2016,2,28.0,CONDUCTOR,AUTO,MASCULINO,30.0,2016-03-04,Domingo,5 days,2016-0026,7:30:00,7.0,6.0,CALLE,-58.49216191,-34.54738649,97350.7556659,109083.19420265,OBJETO FIJO
19,2016-0027,2016-02-28,2016,2,28.0,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,,Domingo,,2016-0027,9:35:00,9.0,6.0,AVENIDA,-58.44497874,-34.63852623,101679.82794245,98973.0297685,AUTO
20,2016-0028,2016-03-02,2016,3,2.0,PEATON,PEATON,MASCULINO,50.0,2016-03-02,Miércoles,0 days,2016-0028,10:00:00,10.0,2.0,AVENIDA,-58.38199706,-34.60028648,107457.87314266,103212.28518029,CARGAS
21,2016-0029,2016-03-04,2016,3,4.0,PEATON,PEATON,MASCULINO,38.0,2016-03-04,Viernes,0 days,2016-0029,17:30:00,17.0,4.0,AVENIDA,-58.47378664,-34.54153077,99037.31284333,109733.12041651,PASAJEROS
22,2016-0031,2016-03-08,2016,3,8.0,CONDUCTOR,MOTO,MASCULINO,21.0,,Martes,,2016-0031,12:30:00,12.0,1.0,GRAL PAZ,-58.47064556,-34.69843756,99327.01838497,92326.91130631,PASAJEROS
23,2016-0034,2016-03-12,2016,3,12.0,PEATON,PEATON,MASCULINO,52.0,2016-03-12,Sábado,0 days,2016-0034,12:30:00,12.0,5.0,AVENIDA,-58.40623949,-34.65076549,105230.9831575,97613.97258373,PASAJEROS
24,2016-0035,2016-03-13,2016,3,13.0,CONDUCTOR,MOTO,MASCULINO,34.0,2016-03-13,Domingo,0 days,2016-0035,6:00:00,6.0,6.0,AVENIDA,-58.39228965,-34.60443527,106513.41423248,102752.75354401,PASAJEROS
25,2016-0036,2016-03-14,2016,3,14.0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36.0,2016-03-14,Lunes,0 days,2016-0036,0:15:00,0.0,0.0,CALLE,-58.37813396,-34.63668504,107808.84957181,99174.17105826,PASAJEROS
26,2016-0037,2016-03-19,2016,3,19.0,CONDUCTOR,MOTO,MASCULINO,20.0,2016-03-19,Sábado,0 days,2016-0037,11:00:00,11.0,5.0,AVENIDA,-58.46275892,-34.64358293,100049.60313526,98412.21255444,MOTO
27,2016-0038,2016-03-21,2016,3,21.0,PEATON,PEATON,MASCULINO,29.0,2016-03-21,Lunes,0 days,2016-0038,8:06:00,8.0,0.0,GRAL PAZ,-58.49683458,-34.67892743,96926.79887463,94490.76318635,PASAJEROS
28,2016-0039,2016-03-23,2016,3,23.0,CONDUCTOR,MOTO,MASCULINO,20.0,2016-03-23,Miércoles,0 days,2016-0039,1:50:00,1.0,2.0,AVENIDA,-58.40603217,-34.6088396,105252.60308563,102264.96028996,PASAJEROS
29,2016-0041,2016-03-29,2016,3,29.0,CONDUCTOR,MOTO,MASCULINO,54.0,2016-03-29,Martes,0 days,2016-0041,11:00:00,11.0,1.0,AVENIDA,-58.4607655,-34.63350444,100232.38564985,99530.2584319,CARGAS
30,2016-0041,2016-03-29,2016,3,29.0,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,,2016-03-30,Martes,1 days,2016-0041,11:00:00,11.0,1.0,AVENIDA,-58.4607655,-34.63350444,100232.38564985,99530.2584319,CARGAS
31,2016-0043,2016-03-30,2016,3,30.0,PEATON,PEATON,FEMENINO,56.0,2016-03-30,Miércoles,0 days,2016-0043,18:15:00,18.0,2.0,AVENIDA,-58.47832463,-34.67494416,98623.04338909,94933.06478837,CARGAS
32,2016-0044,2016-03-31,2016,3,31.0,CONDUCTOR,MOTO,MASCULINO,24.0,2016-03-31,Jueves,0 days,2016-0044,19:40:00,19.0,3.0,AVENIDA,-58.43213235,-34.63693953,102857.73817324,99148.76714504,MULTIPLE
33,2016-0045,2016-04-11,2016,4,11.0,CONDUCTOR,MOTO,MASCULINO,,,Lunes,,2016-0045,10:25:00,10.0,0.0,GRAL PAZ,-58.46743471,-34.53476874,99620.34936816,110483.29286598,
34,2016-0047,2016-04-15,2016,4,15.0,PEATON,PEATON,MASCULINO,41.0,2016-04-15,Viernes,0 days,2016-0047,5:30:00,5.0,4.0,CALLE,-58.38247061,-34.62571878,107412.19098904,100391.02557777,PASAJEROS
35,2016-0048,2016-04-15,2016,4,15.0,PEATON,PEATON,FEMENINO,,,Viernes,,2016-0048,17:40:00,17.0,4.0,AVENIDA,-58.44759966,-34.5917024,101440.29935254,104167.40204334,PASAJEROS
36,2016-0049,2016-04-17,2016,4,17.0,,,,,,Domingo,,,,,,,,,,,
37,2016-0050,2016-04-19,2016,4,19.0,PEATON,PEATON,MASCULINO,78.0,2016-04-19,Martes,0 days,2016-0050,9:50:00,9.0,1.0,AVENIDA,-58.47305463,-34.68550712,99106.1471895,93761.32882893,PASAJEROS
